transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
1605,24-01-2022,19:39:00,2,Male,37,Electronics,2,500,165,1000
467,24-01-2022,22:39:00,151,Female,53,Electronics,3,50,14.5,150
93,25-01-2022,20:52:00,148,Female,35,Beauty,4,500,140,2000
1338,25-01-2022,19:55:00,31,Male,54,Beauty,2,50,19,100
1003,26-01-2022,07:59:00,80,Male,50,Electronics,1,30,15.9,30
1329,27-01-2022,10:39:00,119,Female,46,Electronics,4,25,9.25,100
490,27-01-2022,06:07:00,43,Male,34,Clothing,3,50,18.5,150
1399,28-01-2022,09:32:00,15,Female,64,Beauty,2,30,16.2,60
583,28-01-2022,19:44:00,131,Female,24,Electronics,4,25,7.75,100
1231,29-01-2022,07:05:00,12,Female,23,Clothing,3,50,23,150
657,29-01-2022,08:53:00,46,Male,40,Clothing,1,25,8,25
1307,29-01-2022,22:11:00,68,Female,26,Electronics,2,25,11.75,50
1833,30-01-2022,17:20:00,56,Male,42,Beauty,4,50,18,200
381,30-01-2022,19:05:00,63,Female,44,Clothing,4,25,12.25,100
1722,30-01-2022,20:38:00,22,Male,20,Beauty,3,300,159,900
295,01-02-2022,20:23:00,80,Female,27,Beauty,3,300,105,900
1225,02-02-2022,09:51:00,137,Female,57,Beauty,,,,
335,02-02-2022,09:23:00,2,Female,47,Beauty,4,30,10.8,120
63,03-02-2022,11:49:00,127,Male,57,Electronics,2,25,6.25,50
1772,03-02-2022,19:06:00,59,Male,26,Electronics,1,30,13.2,30
1014,04-02-2022,10:26:00,147,Male,64,Clothing,4,30,11.4,120
1434,04-02-2022,10:02:00,147,Female,43,Electronics,2,25,7,50
556,05-02-2022,17:37:00,42,Female,18,Electronics,1,50,12.5,50
338,05-02-2022,21:26:00,44,Male,54,Beauty,2,50,20,100
981,05-02-2022,21:08:00,5,Female,30,Electronics,2,30,12.9,60
624,05-02-2022,19:08:00,48,Female,34,Beauty,3,300,342,900
1862,06-02-2022,22:50:00,64,Male,28,Electronics,4,300,165,1200
261,06-02-2022,17:48:00,16,Male,21,Clothing,2,25,8.25,50
1921,08-02-2022,07:01:00,77,Male,51,Electronics,3,25,7.5,75
1708,08-02-2022,07:47:00,41,Female,43,Beauty,3,300,162,900
100,08-02-2022,19:34:00,21,Male,41,Electronics,1,30,9.3,30
1723,10-02-2022,17:43:00,40,Female,54,Beauty,4,50,18,200
1042,11-02-2022,06:21:00,7,Male,22,Clothing,3,300,150,900
1184,12-02-2022,08:28:00,23,Male,31,Electronics,4,50,27.5,200
596,12-02-2022,08:44:00,87,Female,64,Electronics,1,300,93,300
1052,12-02-2022,06:12:00,94,Female,36,Beauty,1,300,120,300
1716,12-02-2022,19:16:00,39,Female,60,Clothing,4,300,87,1200
184,13-02-2022,06:44:00,128,Male,31,Electronics,4,50,17,200
515,13-02-2022,20:47:00,71,Female,49,Clothing,3,300,75,900
1103,14-02-2022,07:11:00,61,Female,59,Clothing,1,25,6.75,25
902,14-02-2022,17:16:00,108,Female,54,Beauty,1,50,21.5,50
917,15-02-2022,11:50:00,120,Female,57,Electronics,4,50,16.5,200
1850,16-02-2022,20:44:00,154,Female,26,Beauty,2,500,240,1000
1629,17-02-2022,20:18:00,144,Male,62,Electronics,2,25,10.75,50
672,17-02-2022,19:44:00,1,Female,34,Beauty,2,50,27.5,100
1223,20-02-2022,07:40:00,106,Female,64,Clothing,1,25,9.75,25
1044,20-02-2022,09:08:00,70,Female,22,Clothing,1,25,7.5,25
1785,20-02-2022,11:17:00,144,Female,31,Beauty,4,50,17,200
187,20-02-2022,20:19:00,88,Female,64,Clothing,2,50,21,100
730,20-02-2022,19:38:00,131,Female,36,Clothing,2,25,13.25,50
927,21-02-2022,17:13:00,83,Male,43,Electronics,4,500,250,2000
1073,21-02-2022,18:16:00,82,Male,29,Electronics,3,30,15.3,90
1237,23-02-2022,09:20:00,48,Female,50,Beauty,2,500,215,1000
612,23-02-2022,19:06:00,77,Female,61,Electronics,1,500,235,500
1158,24-02-2022,09:29:00,77,Female,44,Electronics,2,300,138,600
887,24-02-2022,19:20:00,44,Male,59,Clothing,4,25,10,100
1732,25-02-2022,07:05:00,55,Male,61,Electronics,2,500,215,1000
1045,26-02-2022,17:28:00,110,Female,55,Electronics,1,30,9.9,30
11,27-02-2022,10:30:00,151,Male,23,Clothing,2,50,23.5,100
1734,28-02-2022,08:58:00,72,Female,27,Clothing,1,30,14.4,30
1391,01-03-2022,11:29:00,130,Male,,Beauty,2,25,9.25,50
1002,02-03-2022,09:24:00,69,Female,26,Clothing,2,500,270,1000
666,03-03-2022,10:59:00,49,Male,51,Electronics,3,50,16,150
44,03-03-2022,11:07:00,93,Female,22,Clothing,1,25,11.75,25
225,05-03-2022,07:37:00,85,Female,57,Beauty,4,25,12.75,100
1133,05-03-2022,06:42:00,58,Male,20,Electronics,3,300,159,900
1947,05-03-2022,06:27:00,134,Male,50,Beauty,1,300,75,300
683,06-03-2022,10:22:00,82,Male,38,Beauty,2,500,175,1000
464,06-03-2022,11:13:00,24,Male,38,Electronics,2,300,75,600
1415,06-03-2022,07:11:00,146,Male,53,Clothing,2,30,15.3,60
400,08-03-2022,09:52:00,2,Male,53,Clothing,4,50,24,200
29,08-03-2022,20:10:00,31,Female,42,Electronics,1,30,13.5,30
1368,08-03-2022,21:29:00,145,Female,56,Clothing,4,300,132,1200
1015,09-03-2022,11:53:00,94,Female,42,Electronics,4,500,200,2000
432,10-03-2022,11:31:00,17,Female,,Electronics,2,500,190,1000
235,10-03-2022,10:13:00,132,Female,23,Electronics,2,500,275,1000
929,11-03-2022,10:18:00,40,Female,23,Beauty,3,25,10.5,75
1860,12-03-2022,11:21:00,57,Male,63,Clothing,4,50,18,200
734,12-03-2022,08:54:00,77,Female,27,Clothing,1,30,15.6,30
454,12-03-2022,07:20:00,13,Female,46,Beauty,1,25,13,25
484,13-03-2022,07:52:00,135,Female,19,Clothing,4,300,75,1200
1127,15-03-2022,19:26:00,87,Female,33,Clothing,2,25,13,50
1592,16-03-2022,09:08:00,81,Female,46,Beauty,4,500,155,2000
1212,16-03-2022,18:05:00,142,Male,21,Clothing,3,500,265,1500
698,17-03-2022,20:56:00,116,Female,64,Electronics,1,300,123,300
1372,18-03-2022,10:53:00,60,Female,24,Beauty,3,500,145,1500
1303,19-03-2022,08:59:00,58,Male,19,Electronics,3,30,15,90
448,19-03-2022,09:36:00,86,Female,54,Beauty,2,30,16.2,60
742,19-03-2022,06:08:00,37,Female,38,Electronics,4,500,195,2000
1473,19-03-2022,09:06:00,30,Male,64,Beauty,1,50,13,50
45,20-03-2022,18:27:00,121,Female,55,Electronics,1,30,10.5,30
591,21-03-2022,08:38:00,94,Male,53,Electronics,4,25,6.5,100
1377,21-03-2022,07:52:00,71,Female,46,Clothing,4,50,14,200
92,21-03-2022,19:41:00,10,Female,51,Electronics,4,30,8.7,120
498,22-03-2022,22:20:00,41,Female,50,Clothing,4,25,8.25,100
1532,23-03-2022,22:48:00,51,Female,64,Clothing,4,30,15.6,120
829,24-03-2022,21:31:00,52,Male,61,Beauty,3,30,9.6,90
391,25-03-2022,07:37:00,68,Male,19,Beauty,2,25,6.25,50
1831,26-03-2022,10:54:00,80,Male,27,Electronics,4,25,6.5,100
144,26-03-2022,22:18:00,119,Female,59,Beauty,3,500,255,1500
347,26-03-2022,19:31:00,26,Male,42,Electronics,1,25,7,25
193,27-03-2022,10:40:00,55,Male,35,Beauty,3,500,180,1500
1596,28-03-2022,06:22:00,7,Female,64,Electronics,1,300,141,300
1192,29-03-2022,08:41:00,37,Male,62,Beauty,2,50,20.5,100
50,29-03-2022,18:51:00,71,Female,27,Beauty,3,25,10.5,75
186,31-03-2022,18:15:00,92,Male,20,Clothing,4,50,23.5,200
308,31-03-2022,19:12:00,130,Female,34,Beauty,4,300,126,1200
1032,01-04-2022,08:15:00,1,Male,30,Beauty,3,30,10.5,90
1011,01-04-2022,06:48:00,15,Male,23,Clothing,2,50,19,100
904,01-04-2022,20:26:00,43,Male,28,Clothing,1,500,160,500
418,01-04-2022,18:05:00,95,Female,60,Electronics,2,500,155,1000
499,03-04-2022,10:52:00,15,Male,46,Beauty,2,30,16.5,60
197,03-04-2022,11:57:00,14,Female,42,Clothing,4,50,25.5,200
1923,03-04-2022,17:38:00,74,Male,32,Beauty,3,300,159,900
695,03-04-2022,22:12:00,52,Female,22,Electronics,3,50,21,150
1291,04-04-2022,11:19:00,72,Male,60,Clothing,2,300,153,600
1235,04-04-2022,06:44:00,87,Female,23,Electronics,2,500,220,1000
1288,05-04-2022,11:56:00,26,Male,28,Clothing,4,30,9,120
708,06-04-2022,08:38:00,62,Female,43,Beauty,3,300,87,900
77,07-04-2022,20:45:00,44,Female,47,Clothing,2,50,24,100
1698,07-04-2022,21:50:00,146,Female,64,Electronics,1,300,105,300
421,08-04-2022,08:43:00,66,Female,37,Clothing,3,500,235,1500
519,08-04-2022,10:17:00,52,Female,36,Electronics,4,30,16.5,120
720,08-04-2022,08:50:00,116,Female,56,Beauty,3,500,235,1500
142,08-04-2022,10:05:00,61,Male,35,Electronics,4,300,138,1200
1508,08-04-2022,20:32:00,90,Male,58,Beauty,2,300,81,600
1511,09-04-2022,21:36:00,45,Male,45,Beauty,2,50,13.5,100
1346,10-04-2022,10:01:00,112,Male,59,Clothing,2,500,130,1000
1407,10-04-2022,19:41:00,54,Female,46,Electronics,3,300,120,900
384,10-04-2022,19:53:00,127,Male,55,Clothing,1,500,145,500
860,11-04-2022,08:58:00,85,Male,63,Clothing,4,50,16,200
237,11-04-2022,08:54:00,105,Female,50,Beauty,2,500,165,1000
870,11-04-2022,19:41:00,16,Female,46,Electronics,4,30,11.1,120
150,13-04-2022,08:25:00,89,Female,,Electronics,4,30,16.2,120
621,13-04-2022,09:55:00,138,Female,40,Beauty,2,500,275,1000
782,13-04-2022,21:51:00,71,Male,59,Clothing,3,300,150,900
445,14-04-2022,10:48:00,132,Female,53,Electronics,1,300,138,300
1064,14-04-2022,10:38:00,49,Male,49,Clothing,4,25,13.75,100
268,14-04-2022,08:26:00,93,Female,28,Electronics,1,30,8.7,30
1272,14-04-2022,11:59:00,66,Female,61,Electronics,2,50,17,100
1367,15-04-2022,11:38:00,16,Female,,Electronics,1,50,15.5,50
1420,15-04-2022,07:01:00,138,Female,22,Clothing,4,500,205,2000
1797,16-04-2022,11:47:00,147,Male,40,Clothing,3,25,12.25,75
713,16-04-2022,11:43:00,39,Male,34,Beauty,3,25,11.25,75
543,16-04-2022,20:30:00,121,Male,49,Beauty,2,300,75,600
1056,17-04-2022,19:46:00,54,Female,26,Clothing,3,300,114,900
1394,17-04-2022,20:06:00,14,Female,27,Clothing,1,500,250,500
114,17-04-2022,20:57:00,92,Female,22,Beauty,4,25,9.25,100
135,18-04-2022,07:22:00,104,Male,20,Clothing,2,25,13,50
603,18-04-2022,20:17:00,95,Female,40,Clothing,3,30,14.1,90
1445,19-04-2022,06:16:00,31,Female,53,Electronics,1,300,129,300
1945,19-04-2022,09:55:00,33,Male,30,Beauty,1,25,10.75,25
320,20-04-2022,08:35:00,57,Female,28,Electronics,4,300,159,1200
1500,20-04-2022,08:36:00,53,Female,60,Beauty,4,25,8.5,100
1685,20-04-2022,20:32:00,76,Male,57,Electronics,2,25,8.75,50
577,21-04-2022,11:55:00,45,Male,21,Beauty,4,500,215,2000
1279,21-04-2022,22:55:00,116,Male,50,Clothing,1,500,170,500
303,22-04-2022,11:09:00,54,Male,19,Electronics,3,30,14.7,90
763,23-04-2022,09:43:00,58,Male,34,Clothing,2,25,11.5,50
1449,26-04-2022,18:42:00,12,Male,25,Electronics,4,50,23.5,200
1378,28-04-2022,21:56:00,27,Male,50,Beauty,1,300,132,300
168,29-04-2022,09:20:00,138,Male,53,Clothing,1,300,102,300
506,29-04-2022,07:13:00,9,Male,34,Beauty,3,500,200,1500
1444,29-04-2022,06:18:00,135,Female,61,Clothing,3,30,14.1,90
569,29-04-2022,20:49:00,132,Male,52,Electronics,4,50,19,200
1027,30-04-2022,21:00:00,131,Female,38,Beauty,2,25,7.5,50
530,01-05-2022,07:52:00,8,Female,18,Electronics,4,30,9,120
1617,01-05-2022,17:09:00,77,Male,34,Electronics,1,30,35.1,30
288,02-05-2022,09:59:00,27,Male,28,Clothing,4,30,12,120
1917,02-05-2022,07:17:00,52,Female,57,Electronics,4,50,24,200
217,02-05-2022,17:01:00,17,Female,35,Electronics,4,50,26.5,200
1788,03-05-2022,20:35:00,98,Female,52,Beauty,3,300,150,900
1092,03-05-2022,20:15:00,58,Female,51,Electronics,4,30,31.5,120
1163,04-05-2022,10:52:00,120,Female,64,Clothing,3,50,27,150
1683,04-05-2022,07:19:00,98,Male,38,Beauty,2,500,220,1000
317,04-05-2022,07:54:00,117,Male,22,Electronics,3,30,12,90
263,04-05-2022,21:48:00,133,Male,23,Beauty,2,30,34.8,60
775,06-05-2022,11:07:00,98,Female,46,Electronics,4,25,9.5,100
1371,06-05-2022,06:52:00,41,Female,20,Beauty,1,25,13.5,25
439,06-05-2022,21:46:00,42,Male,50,Clothing,3,25,11.75,75
220,07-05-2022,06:44:00,138,Male,64,Beauty,1,500,140,500
1422,07-05-2022,20:41:00,35,Female,28,Clothing,3,30,13.5,90
474,08-05-2022,17:57:00,145,Female,26,Clothing,3,500,210,1500
1299,08-05-2022,18:58:00,11,Male,61,Electronics,2,500,250,1000
238,10-05-2022,11:52:00,20,Female,39,Beauty,1,500,150,500
1257,10-05-2022,11:55:00,29,Male,19,Beauty,4,500,255,2000
1041,10-05-2022,07:27:00,74,Male,34,Clothing,2,25,11,50
1193,11-05-2022,11:31:00,50,Male,35,Beauty,3,500,145,1500
1536,11-05-2022,07:23:00,14,Female,55,Beauty,4,30,13.5,120
1756,12-05-2022,22:16:00,119,Female,62,Electronics,4,300,297,1200
1874,14-05-2022,20:58:00,126,Male,60,Beauty,1,30,12.6,30
1331,15-05-2022,09:29:00,36,Male,28,Electronics,3,30,13.8,90
1292,15-05-2022,08:20:00,88,Male,20,Beauty,4,300,90,1200
1961,15-05-2022,21:17:00,95,Male,53,Beauty,4,50,20.5,200
157,15-05-2022,21:59:00,98,Male,62,Electronics,4,500,170,2000
1474,15-05-2022,20:49:00,84,Female,26,Clothing,3,500,255,1500
1448,16-05-2022,06:28:00,51,Female,54,Beauty,2,30,9.3,60
1049,16-05-2022,06:36:00,143,Female,54,Electronics,2,500,125,1000
1725,16-05-2022,21:02:00,109,Male,61,Electronics,1,300,105,300
1101,17-05-2022,07:47:00,15,Male,32,Clothing,2,300,132,600
1359,17-05-2022,22:21:00,55,Male,50,Clothing,1,50,19,50
1675,17-05-2022,19:55:00,152,Female,45,Clothing,2,30,16.2,60
979,18-05-2022,10:18:00,6,Female,19,Beauty,1,25,10.5,25
14,18-05-2022,07:11:00,8,Male,64,Clothing,4,30,13.2,120
198,21-05-2022,11:42:00,30,Female,54,Beauty,3,300,114,900
1140,22-05-2022,19:26:00,154,Male,38,Electronics,1,30,15.9,30
1630,22-05-2022,17:22:00,95,Male,42,Clothing,2,50,16,100
1232,23-05-2022,08:05:00,146,Female,43,Beauty,1,25,6.25,25
363,23-05-2022,22:51:00,92,Male,64,Beauty,1,25,13.5,25
1845,24-05-2022,07:06:00,94,Male,,Clothing,1,500,185,500
1912,27-05-2022,07:40:00,146,Male,51,Beauty,3,50,22,150
1264,27-05-2022,09:23:00,82,Male,47,Clothing,3,300,123,900
1335,27-05-2022,08:45:00,117,Female,47,Beauty,4,30,8.7,120
793,27-05-2022,10:53:00,1,Male,54,Beauty,1,30,14.7,30
1787,30-05-2022,07:42:00,104,Male,41,Electronics,1,25,10,25
1447,30-05-2022,22:21:00,137,Male,22,Beauty,4,500,155,2000
1829,30-05-2022,22:37:00,58,Male,61,Beauty,3,30,12,90
1479,31-05-2022,22:24:00,108,Male,52,Electronics,4,300,162,1200
379,01-06-2022,07:28:00,76,Female,47,Clothing,1,25,8.5,25
728,02-06-2022,19:35:00,78,Male,51,Electronics,3,50,18,150
1875,03-06-2022,22:42:00,141,Female,51,Electronics,4,500,165,2000
726,05-06-2022,19:37:00,72,Male,47,Clothing,4,300,126,1200
1981,05-06-2022,22:50:00,19,Female,30,Electronics,2,30,11.7,60
1396,07-06-2022,06:23:00,9,Female,55,Beauty,1,30,8.4,30
40,07-06-2022,21:33:00,78,Male,45,Beauty,1,50,24.5,50
364,07-06-2022,19:06:00,98,Female,19,Beauty,1,500,200,500
1268,09-06-2022,09:33:00,15,Female,28,Electronics,1,30,14.1,30
104,09-06-2022,22:58:00,129,Female,34,Beauty,2,500,190,1000
570,09-06-2022,22:53:00,91,Male,49,Clothing,1,500,185,500
787,10-06-2022,10:42:00,25,Male,41,Electronics,1,25,13.75,25
272,10-06-2022,11:57:00,112,Female,61,Electronics,2,50,27.5,100
1021,11-06-2022,10:19:00,44,Female,50,Beauty,1,500,155,500
1746,13-06-2022,07:59:00,88,Female,33,Clothing,3,30,10.8,90
1534,13-06-2022,19:44:00,72,Male,45,Clothing,2,500,270,1000
3,14-06-2022,07:08:00,114,Male,50,Electronics,1,30,8.1,30
1673,14-06-2022,07:36:00,42,Female,43,Clothing,3,500,185,1500
1888,14-06-2022,08:10:00,49,Female,52,Electronics,4,25,12.5,100
1940,15-06-2022,09:47:00,56,Female,20,Electronics,1,30,11.1,30
1423,15-06-2022,07:56:00,131,Female,27,Clothing,1,25,11,25
152,16-06-2022,11:58:00,120,Male,43,Electronics,4,500,210,2000
668,17-06-2022,20:33:00,135,Female,62,Electronics,3,50,24.5,150
1816,17-06-2022,22:30:00,52,Male,47,Beauty,2,500,245,1000
1360,18-06-2022,09:31:00,93,Male,42,Clothing,4,25,6.25,100
1443,18-06-2022,19:37:00,81,Male,29,Clothing,2,300,147,600
372,19-06-2022,11:45:00,27,Female,24,Beauty,3,500,140,1500
1936,19-06-2022,11:32:00,60,Male,57,Beauty,4,50,12.5,200
788,20-06-2022,18:54:00,90,Female,52,Beauty,3,300,105,900
649,21-06-2022,08:17:00,44,Female,58,Clothing,2,300,135,600
1913,23-06-2022,07:10:00,101,Male,29,Electronics,3,30,14.1,90
133,23-06-2022,09:01:00,70,Male,20,Electronics,3,300,87,900
598,23-06-2022,17:02:00,7,Male,37,Beauty,4,30,11.1,120
2,24-06-2022,10:07:00,104,Female,26,Clothing,2,500,135,1000
495,24-06-2022,21:06:00,131,Male,24,Beauty,2,30,11.7,60
16,25-06-2022,10:33:00,82,Male,19,Clothing,3,500,180,1500
1454,25-06-2022,11:18:00,22,Female,46,Beauty,1,25,6.75,25
768,27-06-2022,06:50:00,58,Female,24,Beauty,3,25,10.5,75
185,27-06-2022,09:48:00,57,Male,24,Clothing,1,25,7,25
687,27-06-2022,17:14:00,86,Female,53,Electronics,1,300,150,300
1220,29-06-2022,11:16:00,47,Male,64,Beauty,1,500,240,500
1960,29-06-2022,22:04:00,67,Male,59,Clothing,2,30,13.2,60
1763,30-06-2022,11:37:00,93,Male,34,Clothing,2,25,13.5,50
15,01-07-2022,11:50:00,75,Female,42,Electronics,4,500,210,2000
248,02-07-2022,07:11:00,5,Male,26,Clothing,3,300,126,900
673,04-07-2022,10:14:00,18,Female,43,Clothing,3,500,270,1500
1861,04-07-2022,10:41:00,145,Female,41,Clothing,3,30,10.2,90
1667,04-07-2022,19:09:00,40,Female,29,Electronics,1,500,125,500
746,05-07-2022,11:33:00,42,Female,33,Clothing,,,,
488,05-07-2022,17:28:00,26,Female,51,Electronics,3,300,123,900
780,06-07-2022,11:30:00,107,Male,52,Electronics,2,25,13.25,50
753,06-07-2022,10:07:00,70,Female,32,Clothing,1,30,15.9,30
140,07-07-2022,20:20:00,61,Male,38,Electronics,1,30,14.4,30
1239,08-07-2022,20:42:00,134,Male,38,Electronics,3,500,255,1500
522,09-07-2022,11:00:00,52,Male,46,Beauty,3,500,145,1500
231,09-07-2022,07:02:00,50,Female,23,Clothing,3,50,26.5,150
1168,10-07-2022,07:56:00,68,Male,53,Clothing,1,300,150,300
1801,10-07-2022,22:01:00,148,Male,21,Clothing,4,50,13.5,200
21,11-07-2022,07:33:00,59,Female,50,Beauty,1,500,275,500
1104,11-07-2022,20:13:00,70,Female,34,Beauty,2,500,150,1000
1514,12-07-2022,10:55:00,59,Female,18,Electronics,1,300,75,300
1059,12-07-2022,22:05:00,89,Male,62,Clothing,1,50,12.5,50
1802,13-07-2022,22:17:00,33,Female,46,Beauty,1,30,9.6,30
1162,13-07-2022,17:08:00,101,Male,39,Clothing,2,30,12.6,60
1070,14-07-2022,11:12:00,102,Female,43,Clothing,1,300,120,300
723,14-07-2022,21:57:00,120,Female,54,Beauty,4,50,20.5,200
32,16-07-2022,09:11:00,150,Male,30,Beauty,3,30,8.4,90
1740,16-07-2022,06:01:00,66,Female,25,Beauty,4,50,27,200
407,16-07-2022,22:17:00,117,Female,46,Electronics,3,300,138,900
1013,16-07-2022,19:38:00,111,Male,22,Electronics,3,500,200,1500
344,17-07-2022,09:47:00,69,Female,42,Beauty,1,30,7.5,30
1753,17-07-2022,07:40:00,28,Female,32,Clothing,1,30,10.5,30
423,18-07-2022,06:06:00,41,Female,27,Clothing,1,25,11.75,25
906,19-07-2022,17:55:00,6,Female,20,Clothing,1,50,17,50
1966,20-07-2022,09:52:00,74,Male,60,Electronics,2,500,200,1000
160,20-07-2022,17:08:00,127,Female,43,Clothing,2,50,26.5,100
611,21-07-2022,08:13:00,11,Male,51,Beauty,3,500,180,1500
867,24-07-2022,22:40:00,152,Male,21,Electronics,1,500,185,500
977,26-07-2022,08:35:00,46,Female,35,Electronics,3,25,13.75,75
1387,26-07-2022,17:48:00,37,Male,44,Beauty,1,30,15.6,30
433,29-07-2022,08:48:00,144,Male,29,Beauty,4,50,20,200
561,29-07-2022,17:04:00,34,Female,64,Clothing,4,500,250,2000
1463,29-07-2022,19:45:00,98,Female,54,Beauty,3,500,170,1500
1768,31-07-2022,09:52:00,85,Female,24,Beauty,3,25,8.75,75
947,31-07-2022,07:09:00,4,Male,50,Beauty,1,300,129,300
986,01-08-2022,09:35:00,65,Female,49,Clothing,2,500,200,1000
1964,02-08-2022,08:27:00,115,Male,24,Clothing,3,300,111,900
1063,04-08-2022,10:26:00,56,Male,57,Electronics,2,25,11,50
1669,04-08-2022,22:28:00,83,Male,24,Beauty,4,300,123,1200
1557,04-08-2022,17:01:00,14,Female,20,Beauty,3,30,10.2,90
1807,04-08-2022,22:15:00,19,Female,50,Electronics,4,50,22,200
1134,05-08-2022,09:04:00,106,Male,49,Electronics,1,50,24,50
1977,05-08-2022,10:46:00,63,Female,35,Electronics,3,25,12,75
988,05-08-2022,18:41:00,85,Female,63,Clothing,3,25,8,75
661,05-08-2022,22:09:00,10,Female,44,Clothing,4,25,7,100
617,06-08-2022,19:12:00,30,Male,34,Electronics,1,30,28.5,30
743,07-08-2022,07:54:00,55,Female,34,Beauty,4,500,260,2000
1240,07-08-2022,07:42:00,144,Female,23,Beauty,1,300,90,300
1198,07-08-2022,10:43:00,147,Female,54,Beauty,3,300,159,900
1300,08-08-2022,08:57:00,7,Female,19,Electronics,4,50,24,200
1657,09-08-2022,10:05:00,61,Male,40,Clothing,1,25,8,25
1547,11-08-2022,06:39:00,142,Male,63,Clothing,4,500,235,2000
475,12-08-2022,10:39:00,78,Male,26,Clothing,3,25,9,75
232,12-08-2022,07:14:00,150,Female,43,Beauty,1,25,12.75,25
1085,12-08-2022,09:29:00,76,Male,31,Clothing,3,50,17,150
1197,13-08-2022,10:07:00,77,Female,42,Clothing,4,50,19,200
1262,13-08-2022,20:33:00,127,Female,32,Beauty,4,30,8.4,120
1638,13-08-2022,18:26:00,37,Male,46,Electronics,1,500,155,500
195,14-08-2022,11:51:00,10,Male,52,Clothing,1,30,9.3,30
1705,14-08-2022,08:32:00,94,Male,60,Electronics,2,25,8.75,50
1323,15-08-2022,10:49:00,136,Female,29,Beauty,3,300,114,900
532,15-08-2022,18:04:00,92,Female,64,Clothing,4,30,12.9,120
1116,15-08-2022,22:26:00,145,Female,23,Clothing,1,30,12.3,30
331,16-08-2022,08:33:00,28,Male,28,Electronics,3,30,10.2,90
972,16-08-2022,11:42:00,139,Male,49,Beauty,4,25,6.75,100
1979,17-08-2022,11:34:00,102,Female,19,Beauty,1,25,7.75,25
1036,17-08-2022,18:03:00,121,Male,52,Beauty,3,300,117,900
339,18-08-2022,10:27:00,33,Female,22,Electronics,2,25,10.25,50
1114,18-08-2022,22:19:00,100,Female,22,Beauty,4,25,12,100
394,19-08-2022,19:27:00,105,Female,27,Clothing,1,500,165,500
